title,abstract
Risk of death from bladder cancer in relation to long-term exposure to fine particulate air pollution in Taiwan.,The International Agency for Research on Cancer (IARC) has classified fine particulate matter (PM
Google Trends as a health sentinel. ALERT study: Analyzing Symptoms Perceptions Related To Environmental pollution.,"The relationship between environmental pollution and human health is well-documented, and exposure has been linked to an increased risk of respiratory and psychological diseases. In our clinical practice, a trend of self-medication and self-diagnosis has emerged, defined as independent web searches for self-reported symptoms aimed at obtaining a diagnosis and related treatment in the absence of medical advice. This study aims to investigate the relationship between air pollution and public health, focusing on the impact of particulate matter (PM 2.5, PM 10), nitrogen dioxide (NO2), ozone (O3), and other pollutants on respiratory and mental health, and their relationship with web searches for health-related topics. The study compares search trends for specific terms (e.g., cough, dyspnea, asthma, etc.), obtained using Google Trends, a tool for assessing public interest in health-related issues, with air main pollutants concentrations collected over the same period in 2024 in Genoa, Liguria region. Correlation between searches for cough and levels of PM 2.5, O3, benzene, and NO2 was established, while depression also showed a connection to PM 2.5 and benzene. These findings underscore the potential of Google Trends as a valuable resource for epidemiological surveillance. The study highlights the necessity for healthcare systems to adapt to the implications of air quality on health outcomes. It emphasizes the need for innovative approaches, including real-time tracking of air pollution and its health impacts, to enhance patient care and inform clinical practice. The integration of technology and data analytics in healthcare is proposed as a forward-looking strategy to improve therapeutic adherence and patient management in the context of environmental health challenges."
Effects of inflammatory markers and sleep quality in stroke patients by reducing residential PM,"To assess the health impacts of a home intervention involving protective window screens and air purifiers on stroke patients in typical residential buildings in southern Taiwan. Chronic ischemic stroke patients were recruited from hospitals in southern Taiwan. A crossover study design was used, with home interventions consisting of protective window screens alone and protective window screens combined with air purifiers. Environmental monitoring indicators (indoor and outdoor PM Eleven cases (male:female = 9:2) were completed. The proportion of time with indoor PM Residential installation of protective window screens reduced indoor PM2.5, improved air quality, and positively influenced inflammatory markers and sleep in stroke patients in this case-crossover study. Further research is recommended to investigate its practical implementation and effectiveness in real-world residential settings."
Ambient air pollution and survival in SCLC/LCNEC: Analysis of a single centre retrospective cohort.,"Small cell lung cancer (SCLC) and large cell neuroendocrine carcinoma of the lung (LCNEC) are the deadliest forms of lung cancer with dismal prognosis. Recent evidence suggests that, beyond cigarette smoke, air pollution can have a role in the pathogenesis of non-small cell lung cancer (NSCLC) and is associated with poorer survival. However, whether air pollutants exposure could affect survival outcomes in SCLC/LCNEC is unknown. We retrospectively analysed data from SCLC/LCNEC cases observed in the province of Brescia province Brescia between 2017 and 2021. Air pollutants mean concentrations were calculated during the same timeframe and the Brescia province was divided in six subareas dichotomized into lightly and heavily polluted areas based on the mean PM We observed 221 cases of SCLC/LCNEC, accounting for about 18 % of new lung cancer cases. Residency in heavily polluted areas (HR 1.51, p = 0.03) and extensive stage disease at diagnosis (HR 2.47, p = 0.0001) emerged as independent factors for poorer survival. Exploratory analyses showed an association between the distribution of SCLC/LCNEC cases and higher PM These results indicate that long-term exposure to high levels of PM"
The Prevalence of Lung Carcinoma Among the Population in Bulgaria and Its Association with Radon Exposure in Residential Buildings.,"Lung carcinoma remains the leading cause of cancer-related mortality worldwide, with smoking as the primary risk factor and radon exposure as the second, and the first among non-smokers. The combined effect of tobacco smoke and indoor radon increases disease risk up to 2.5 times, emphasizing the need for prevention and environmental risk assessment. This study analyzed the incidence of lung carcinoma in Bulgaria during 2013-2022 and examined its association with indoor radon exposure across different regions. Annual data were obtained from the National Statistical Institute and the National Survey of Indoor Radon Concentrations in Residential Buildings (2015-2016). The average annual incidence was 43.5 per 100,000 population, showing a 3.4% annual decline, while the average prevalence was 131.7 per 100,000, decreasing by 1.4% per year. Considerable interregional variation was observed, with incidence ranging from 25.5 to 62.4 per 100,000. A moderate positive correlation was found between lung carcinoma incidence and mean indoor radon concentration, and a stronger to very strong correlation with the proportion of dwellings exceeding 300 Bq/m These findings indicate a positive association between residential radon exposure and lung cancer morbidity and support maintaining the WHO-recommended reference level of 200 Bq/m"
Molecular interactions and dynamics of microplastics in indoor dust with lung-inflammatory receptors: A study in academic settings.,"Airborne microplastics (MPs) are prevalent indoors, and due to their low aerodynamic diameter, they can be inhaled, posing potential health risks. Although the toxic effects of airborne MPs have been explored using in vivo and in vitro models, the interactions between MPs and cellular receptors remain understudied. In this research, dust samples from a confined space within an academic setting were investigated for microplastics (MPs) and their abundance. Further, the most prevalent microplastics were used to study receptor binding and competition interaction studies using the In-Silico method against natural agonists and antagonists of major inflammatory receptors, including the human platelet-activating factor receptor (PAFR), C-X-C motif chemokine receptor 1 (CXCR1), β2-adrenergic receptor (β2-AR), and toll-like receptor 2 (TLR-2). Results revealed that polyester (PE) was the predominant polymer, accounting for 23.96 % of the samples. Analysis indicated that a monomer of PET, Ethylene Terephthalate (ET), exhibited a high binding affinity of -6.5 kcal/mol with the PAFR receptor. Additionally, the molecular dynamics and protein-ligand interaction study, which involves hydrogen bonding, explains the differential binding effect of ET and the control compound with the targeted receptor. The complex was formed between the ET and the receptors of β2-AR, CXCR1, and TLR-2, with a maximum of seven and a minimum of one hydrogen bond throughout the simulation. This research lays a foundation for understanding the potential health implications of MPs in confined office spaces, underscoring the need for further in vivo and in vitro examinations."
Health-economic impact of implementing continuous vital sign monitoring in post-surgical patients in five European countries.,"Hospitals, in particular intensive care units (ICUs), account for a large proportion of healthcare costs and environmental burden. Preventing unexpected patient transfer to ICU  A health-economic, decision-tree model was developed to compare CVSM versus intermittent monitoring for costs, resources, and environmental consequences up to 30 days after hospital discharge for a hypothetical, 100-patient cohort. Hospital data from the UK were used to populate the initial country model, while data were extracted from the literature for Netherlands, Germany, Spain, and France. Key outcomes were costs (in 2024 currency), days in hospital, and environmental impact (kg of CO For 100 patients, the cost savings with use of CVSM ranged from -€111,381 (95% CrI = -35,164; -159,176) in the Netherlands to -€22,745 (95% CrI = -7,656; -44,134) in France. In no country did the range of the 95% CrI cross zero, indicating significant cost savings with CVSM. Cost savings mainly resulted from reductions of ICU days, which ranged from -25 (95% CrI = 8; -43) in Germany to -9 (95% CrI = -1; -28) in France. Changes in ICU days were not always significant. On average, 3,866 kg of CO Published data was limited and data was proxied across countries when unavailable. CVSM is expected to be a cost-saving, sustainable solution for most hospitals of the countries included. Following surgery, it is important to notice any new health problems as soon as they begin, so that they can be treated quickly. If a patient gets heart problems or is getting worse and at risk of a heart attack, and they do not get immediate treatment, they may have to stay longer in the hospital. Long hospital stays are expensive and impact the environment by increasing air pollution and trash. Usually, nurses check on patients several times every day, measuring heart rate, breathing rate, and other vital signs. Continuous vital sign monitoring (CVSM) technology allows healthcare professionals to ongoingly measure patients’ vital signs, without a gap lasting for hours between measurements. This can contribute to detecting patient worsening ahead of time and preventing health problems. This study calculated how CVSM can support hospitals in five European countries. New data were collected from British hospitals. Data for other countries were found in published scientific articles. The data were used to estimate how CVSM changes how long patients stay in the hospital and in intensive care, how much money treating the patients cost, and the environmental effect. Using CVSM saves money and reduces environmental burden in each country, but by different amounts. CVSM would allow 100 patients to overall spend 9 fewer days in the intensive care unit in France, and 25 fewer days in the intensive care unit in Germany. Per 100 patients, CVSM would save €22,745 in France and €111,381 in the Netherlands."
Gut-lung axis in allergic rhinitis: microbial dysbiosis and therapeutic strategies.,"Allergic rhinitis (AR) affects an estimated 10%-30% of people worldwide and places a significant burden on both health and healthcare systems. Recent research suggests that imbalances in the gut microbiota may contribute to the development of AR by disrupting immune regulation along the gut-lung axis. However, these insights have yet to be fully translated into clinical practice. We performed a systematic review of studies published between 2010 and 2025, including clinical research, animal experiments, and multi-omics analyses, retrieved from PubMed, Web of Science, Embase, Cochrane, CNKI, and Wanfang databases. The review aimed to evaluate immune mechanisms mediated by the gut microbiota and assess microbiota-targeted interventions in AR. Patients with AR consistently show reduced fecal butyrate levels, with several studies reporting significant declines, alongside elevated serum IgE concentrations. These changes are closely linked to gut dysbiosis, characterized by reduced abundance of  Gut dysbiosis contributes to the development of AR by disrupting immune-metabolic pathways along the gut-lung axis. Microbiota-targeted interventions hold promise for both the prevention and management of AR, especially in pediatric populations. To achieve long-term impact, public health strategies that combine dietary modifications with measures to reduce air pollution are urgently needed."
Proteomic signatures of smoking and their associations with risk of incident diseases and mortality in diverse populations.,"Smoking is the most important behavioural determinant of morbidity and mortality. Using machine learning on plasma levels of 2,917 proteins in the UK Biobank (n = 43,914), we develop a proteomic Smoking Index (pSIN) comprising 51 proteins that accurately distinguish current from never smokers (AUC = 0.95; 95% CI 0.94-0.95). Validation in the China Kadoorie Biobank (n = 3,977) shows similar accuracy (AUC = 0.91; 95% CI 0.89-0.92). pSIN is significantly associated with the risk of all-cause mortality and 18 major chronic diseases, including cardiovascular, renal, pulmonary, neurodegenerative, and cancer outcomes. Among current and former smokers, pSIN predicts death and 11 diseases independently of self-reported smoking history and lifestyle factors. Genome-wide analysis identifies 125 genes (e.g., ALPP, CST5, IL12B) associated with pSIN, while exposome analysis highlights maternal smoking, diet, physical activity, and air pollution as key modifiers. Notably, pSIN tracks recovery among former smokers and identifies those whose disease risks remain comparable to current smokers. These findings demonstrate that plasma proteomics effectively capture the biological imprint of smoking and predict smoking-related morbidity and mortality, offering a more nuanced, molecularly grounded assessment of individual variation in biological response to smoking."
Air pollution and lung cancer in India: an escalating public health crisis.,
The impact of environmental exposures on DNA methylation in the EXPANSE project.,"Living in an urban environment exposes the population to a mix of environmental and social factors, known as the Urban Exposome, that can influence health via changes in DNA methylation. We hypothesised that linking urban exposures with epigenome-wide DNA methylation in blood can reveal impacts across the lifespan. In the EXPANSE project, we conducted an inverse variance-weighted meta-analysis of epigenome-wide association studies of seven European cohorts. Urban exposures were estimated at participants' home addresses and included air pollution (PM2.5, NO DNA methylation was measured in blood samples from 1778 children (4-10 years), 878 adolescents (16 years), and 5975 adults (18-87 years). PM2.5, NO Urban environmental factors induce DNA methylation changes across life stages, with stronger associations in young children and adults. We observed a distinct contrast in the methylation changes associated with greenness compared to other urban environmental factors. However, disentangling exposure-specific methylome signatures remains a challenge. This work was supported by the EXPANSE project, funded by the European Union's Horizon 2020 research and innovation programme under grant agreement No. 874627."
Greater ambient air pollution exposure is associated with worse respiratory symptoms in men and women with HIV and chronic lung disease: a cohort study.,"COPD and impairment in diffusing capacity for carbon monoxide (DLCO) are common comorbidities in people with HIV (PWH). HIV may increase susceptibility to inhaled toxins including air pollution. In PWH and people without HIV (PWoH), we investigated whether air pollution exposure was associated with within-group differences in lung function or respiratory symptoms, and whether these associations differed by HIV serostatus or the presence of underlying lung disease. We analyzed cross-sectional data from the Multicenter AIDS Cohort Study (MACS) and the Women’s Interagency HIV Study (WIHS), including participants with pulmonary function tests and accompanying standardized respiratory questionnaires in 2017–2020. The participants were linked to fine particulate matter (PM 338 MACS participants and 1073 WIHS participants were included. Overall, there were no significant associations between pollution exposures and either lung function or respiratory symptoms. In PWH with COPD, 1 µg/m PM The online version contains supplementary material available at 10.1186/s12931-025-03398-0."
"Association between weather, air quality and asthma-related emergency department visits: a retrospective time-series study in Singapore.","To evaluate the association between asthma-related emergency department (ED) visits and weather, air quality, monsoons, haze and cultural festivals in Singapore. Retrospective cohort study. A public healthcare cluster that covers 20% of the nation's adult asthma population. 2617 adult patients accounting for 5337 asthma ED visits between 2016 and 2024. Temperature, rainfall, wet bulb temperature (WBT), wind speed and Pollution Standards Index (PSI) were correlated with asthma ED counts at 0-7 day lags. Associations between ED visits and monsoons, transboundary haze and cultural festivals were evaluated using one-way analysis of variance. Weekly seasonal ARIMA models with exogenous regressors were fitted, incorporating PSI as a covariate and adjusting for demographic, clinical and socioeconomic factors. Asthma ED visits were positively correlated with PSI (lag 0: r=0.142; 95% CI 0.107 to 0.178) and inversely correlated with rainfall (lag 3: r=-0.062; 95% CI -0.099 to -0.026) and WBT (lag 1: r=-0.067; 95% CI -0.104 to -0.031). Wind speed (lag 2: r=-0.049; 95% CI -0.086 to -0.013) and ambient temperature (lag 6: r=-0.045; 95% CI -0.081 to -0.008) showed weaker inverse associations. Mean PSI was higher during haze (82.67 vs 51.46, p<0.001) and festival periods (53.42 vs 51.57, p=0.001). Mean ED visits fell across successive haze events (2.60 in 2016, 2.36 in 2019, 1.46 in 2023) but peaked during the Northeast monsoons despite lower PSI, indicating weather influences beyond ambient pollution. PSI-ED association peaked on the same day of exposure but was no longer significant after adjusting for demographic and clinical factors. Pollution-linked festivals, transboundary haze and the Northeast monsoon were associated with increased asthma ED visits."
Acrylonitrile exposure incurs lung function decline: Insights from lifestyle intervention and mechanistic pathway in an urban prospective cohort.,"Acrylonitrile (AN), a prevalent Urban Air Toxic Pollutant, has drawn growing worldwide attention due to its alarming health threat. Evidence regarding the respiratory effect of AN exposure and its interaction with lifestyle in the general population remains limited, and the underlying mechanisms are largely unexplored. In this urban population-based prospective cohort study (baseline: 2011-2012; two follow-ups: 2014-2015 and 2017-2018), urinary AN metabolite N-Acetyl-S-(2-cyanoethyl)-L-cysteine (CYMA) and lung function were repeatedly measured for 6236 observations of 3515 participants. We utilized linear mixed models to evaluate the cross-sectional and longitudinal relationships between CYMA and lung function. Interaction plots were depicted to estimate the interaction of CYMA with healthy lifestyle score (HLS). Biomarkers of inflammation (plasma transforming growth factor-β [TGF-β], C-reactive protein, and club cell secretory protein) and oxidative damage to DNA (urinary 8-hydroxy-deoxyguanosine [8-OHdG]), lipid (urinary 8-iso-prostaglandin-F Cross-sectionally, each one-unit increase in log Daily life exposure to AN was associated with lung function decline. Mitigating AN pollution, promoting healthy lifestyles, and targeting fibro-inflammation, oxidative DNA damage, and lipid peroxidation pathways could be effective strategies to safeguard the public respiratory health."
"Global burden of lower respiratory infections and aetiologies, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.","Lower respiratory infections (LRIs) remain the world's leading infectious cause of death. This analysis from the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2023 provides global, regional, and national estimates of LRI incidence, mortality, and disability-adjusted life-years (DALYs), with attribution to 26 pathogens, including 11 newly modelled pathogens, across 204 countries and territories from 1990 to 2023. With new data and revised modelling techniques, these estimates serve as an update and expansion to GBD 2021. Through these estimates, we also aimed to assess progress towards the 2025 Global Action Plan for the Prevention and Control of Pneumonia and Diarrhoea (GAPPD) target for pneumonia mortality in children younger than 5 years. Mortality from LRIs, defined as physician-diagnosed pneumonia or bronchiolitis, was estimated using the Cause of Death Ensemble model with data from vital registration, verbal autopsy, surveillance, and minimally invasive tissue sampling. The Bayesian meta-regression tool DisMod-MR 2.1 was used to model overall morbidity due to LRIs. DALYs were calculated as the sum of years of life lost (YLLs) and years lived with disability (YLDs) for all locations, years, age groups, and sexes. We modelled pathogen-specific case-fatality ratios (CFRs) for each age group and location using splined binomial regression to create internally consistent estimates of incidence and mortality proportions attributable to viral, fungal, parasitic, and bacterial pathogens. Progress was assessed towards the GAPPD target of less than three deaths from pneumonia per 1000 livebirths, which is roughly equivalent to a mortality rate of less than 60 deaths per 100 000 children younger than 5 years. In 2023, LRIs were responsible for 2·50 million (95% uncertainty interval [UI] 2·24-2·81) deaths and 98·7 million (87·7-112) DALYs, with children younger than 5 years and adults aged 70 years and older carrying the highest burden. LRI mortality in children younger than 5 years fell by 33·4% (10·4-47·4) since 2010, with a global mortality rate of 94·8 (75·6-116·4) per 100 000 person-years in 2023. Among adults aged 70 years and older, the burden remained substantial with only marginal declines since 2010. A mortality rate of less than 60 deaths per 100 000 for children younger than 5 years was met by 129 of the 204 modelled countries in 2023. At a super-regional level, sub-Saharan Africa had an aggregate mortality rate in children younger than 5 years (hereafter referred to as under-5 mortality rate) furthest from the GAPPD target. Streptococcus pneumoniae continued to account for the largest number of LRI deaths globally (634 000 [95% UI 565 000-721 000] deaths or 25·3% [24·5-26·1] of all LRI deaths), followed by Staphylococcus aureus (271 000 [243 000-298 000] deaths or 10·9% [10·3-11·3]), and Klebsiella pneumoniae (228 000 [204 000-261 000] deaths or 9·1% [8·8-9·5]). Among pathogens newly modelled in this study, non-tuberculous mycobacteria (responsible for 177 000 [95% UI 155 000-201 000] deaths) and Aspergillus spp (responsible for 67 800 [59 900-75 900] deaths) emerged as important contributors. Altogether, the 11 newly modelled pathogens accounted for approximately 22% of LRI deaths. This comprehensive analysis underscores both the gains achieved through vaccination and the challenges that remain in controlling the LRI burden globally. Furthermore, it demonstrates persistent disparities in disease burden, with the highest mortality rates concentrated in countries in sub-Saharan Africa. Globally, as well as in these high-burden locations, the under-5 LRI mortality rate remains well above the GAPPD target. Progress towards this target requires equitable access to vaccines and preventive therapies-including newer interventions such as respiratory syncytial virus monoclonal antibodies-and health systems capable of early diagnosis and treatment. Expanding surveillance of emerging pathogens, strengthening adult immunisation programmes, and combating vaccine hesitancy are also crucial. As the global population ages, the dual challenge of sustaining gains in child survival while addressing the rising vulnerability in older adults will shape future pneumonia control strategies. Gates Foundation."
Characterization of indoor particulate matter by home heating fuel type in rural New Hampshire homes.,"Over six million Americans rely on solid fuels for residential heating, which can result in high concentrations of fine and ultrafine particulate matter (PM). Little is known on the characteristics of indoor PM in rural homes, including lung deposited surface area (LDSA) concentration and metals composition, and whether these characteristics may vary by fuel type. Homes using oil, cordwood, or pellet were recruited into the study. Indoor air quality assessment over 48 hours included PM Ten homes completed the study- three used primary oil-fueled furnaces/boilers, four used primarily cordwood, and three used pellet fuel. Activity logs and real time measurements highlighted elevated indoor pollution events such as loading wood stoves and cooking. Maximum indoor air particle number concentrations measured were similar across fuel types, though total average particle concentrations, maximum mass, and LDSA concentrations were highly variable. For individual elements Ca, K, Cu, Cd, and Pb, there was a trend of higher concentrations in cordwood heated home, followed by pellet, and then oil heat. Exposure characteristics and elemental composition of fine and ultrafine particles in rural homes vary by heating fuel type. Due to the contributions from other indoor activities to ultrafine PM, we suggest trace elements might be a better marker of woodsmoke exposure compared to other particle metrics."
EAACI Guidelines on the Importance of Green Space in Urban Environments for Allergy and Asthma Prevention.,"The allergy and asthma epidemic in urban societies following World War II is mostly caused by changes in the environment, diet and lifestyle. Disconnection of urban populations from the wider environment has reduced the protective factors building up immunological resilience. The European Academy of Allergy and Clinical Immunology (EAACI) guidelines on greenness impact on allergy and asthma follow the Grading of Recommendations, Assessment, Development and Evaluation (GRADE) approach and provide eight recommendations encouraging greenness exposure to support immune health. Controlled follow-up studies are still scarce, and the strength of evidence is generally low or moderate at best. For primary prevention of allergy and asthma, most of the evidence indicates beneficial effects. Exposure is also useful for secondary prevention. Asthma patients may feel better and need less medication by combining green space exposure with physical activity. During the high-pollen season, effective seasonal medication is necessary for patients with pollen allergy. In urban planning, implementing appropriate green infrastructure and easy access to green space promotes immune health and reduces risks of air pollution and heatwaves. These EAACI guidelines are the first recommendations highlighting the importance of urban green spaces on immune health and call for prioritising innovative research in this field."
Impact of air pollution and population vulnerability on cancer mortality in the United States: A scoping review.,"Ambient air pollution is an important contributor to cancer risk. While previous studies have examined the impact of air pollution on cancer mortality, they have largely overlooked how population vulnerability indicators, such as socioeconomic status, interact with air pollution to influence cancer mortality across cancer types. This review aimed to address this gap by systematically reviewing these effect modifications and providing insights to inform efforts aimed at reducing differential health burdens. We searched PubMed, Embase, Scopus, and Web of Science for studies conducted in the U.S. published between January 1, 1994, and January 27, 2024. Covidence was used to manage study selection and data extraction, including study design, air pollutants, population vulnerability indicators (e.g., urbanicity, proximity to pollution, socioeconomic status, race/ethnicity), exposure assessment methods, cancer types, and findings. We identified 15 articles and found that the associations between air pollution and cancer mortality varied by urbanicity and socioeconomic status. A slight majority of studies reported stronger associations in less urbanized populations and lower-SES groups. Black individuals experienced higher cancer mortality risks from air pollution than Whites, while findings for Hispanics and Asians were inconsistent. Air pollution exposure and population vulnerability indicators jointly contribute to disparities in cancer mortality, disproportionately affecting vulnerable populations such as those in less urbanized areas and marginalized racial and ethnic groups. Targeted research and policies are needed to mitigate these inequities, improve air quality, and reduce cancer mortality in high-risk communities."
